seed,crossfit_seed,n_splits,budget_fraction,first_policy,second_policy,dr_difference_per_customer,dr_standard_error,dr_ci95_low,dr_ci95_high,n_evaluation
1000,1000,5,0.1,risk,uplift,0.0011558271770484,0.0013882901723288,-0.0015651715608069,0.0038768259149038,11896
1000,1000,5,0.1,uplift,random,0.0013496502411668,0.0023699568340126,-0.0032953797984124,0.0059946802807461,11896
1000,1000,5,0.1,risk,random,0.0025054774182153,0.002653678083013,-0.0026956360510535,0.0077065908874842,11896
1000,1000,5,0.25,risk,uplift,0.0026374471807556,0.0021869455405887,-0.0016488873149487,0.00692378167646,11896
1000,1000,5,0.25,uplift,random,0.0026161159724198,0.0023513569770163,-0.001992459017329,0.0072246909621688,11896
1000,1000,5,0.25,risk,random,0.0052535631531755,0.002753539301966,-0.0001432747086934,0.0106504010150444,11896
1000,1000,5,0.5,risk,uplift,0.0031293110066214,0.0027622308031984,-0.0022845618846345,0.0085431838978775,11896
1000,1000,5,0.5,uplift,random,0.0005589086461512,0.002129505139167,-0.0036148447315091,0.0047326620238115,11896
1000,1000,5,0.5,risk,random,0.0036882196527726,0.0021292427791034,-0.000485019508612,0.0078614588141574,11896
1001,1001,5,0.1,risk,uplift,0.0030717945712216,0.0015139933309923,0.0001044221696428,0.0060391669728003,11896
1001,1001,5,0.1,uplift,random,0.0039280528813784,0.0022651507675076,-0.0005115610424898,0.0083676668052466,11896
1001,1001,5,0.1,risk,random,0.0069998474526,0.0025806971213956,0.0019417740396583,0.0120579208655416,11896
1001,1001,5,0.25,risk,uplift,0.0039646932068671,0.0021523179062295,-0.0002537723726235,0.0081831587863578,11896
1001,1001,5,0.25,uplift,random,0.0031456270982538,0.0022485461212722,-0.001261442317017,0.0075526965135246,11896
1001,1001,5,0.25,risk,random,0.0071103203051209,0.0026631319081606,0.0018906776790466,0.0123299629311952,11896
1001,1001,5,0.5,risk,uplift,0.0057465506872173,0.002705042526763,0.0004447647581126,0.0110483366163221,11896
1001,1001,5,0.5,uplift,random,3.4010056156785786e-05,0.0020568120758055,-0.0039972675353891,0.0040652876477027,11896
1001,1001,5,0.5,risk,random,0.0057805607433741,0.0020561290958459,0.0017506217679512,0.009810499718797,11896
1002,1002,5,0.1,risk,uplift,0.0016839989605207,0.0016223745773382,-0.0014957967804956,0.0048637947015372,11896
1002,1002,5,0.1,uplift,random,0.0036301968675228,0.0022861252042551,-0.0008505261969664,0.0081109199320122,11896
1002,1002,5,0.1,risk,random,0.0053141958280436,0.0026556656638551,0.0001091867719079,0.0105192048841793,11896
1002,1002,5,0.25,risk,uplift,0.0022485380605304,0.0021043033169791,-0.0018758206532967,0.0063728967743577,11896
1002,1002,5,0.25,uplift,random,0.0045548356592788,0.0023232769676527,1.2964765680207465e-06,0.0091083748419896,11896
1002,1002,5,0.25,risk,random,0.0068033737198093,0.002701626393606,0.0015082832886585,0.01209846415096,11896
1002,1002,5,0.5,risk,uplift,0.0044639698014181,0.0026898455304184,-0.0008080305621779,0.0097359701650143,11896
1002,1002,5,0.5,uplift,random,0.0014303664734854,0.0020952008531209,-0.0026761517390091,0.0055368846859801,11896
1002,1002,5,0.5,risk,random,0.0058943362749036,0.0020945447695684,0.0017891039625428,0.0099995685872644,11896
1003,1003,5,0.1,risk,uplift,0.0039676018995631,0.0015081244780451,0.0010117322383914,0.0069234715607349,11896
1003,1003,5,0.1,uplift,random,0.0028410245213478,0.002362485605776,-0.0017893621799674,0.0074714112226632,11896
1003,1003,5,0.1,risk,random,0.006808626420911,0.0026854347451142,0.0015452710376545,0.0120719818041676,11896
1003,1003,5,0.25,risk,uplift,0.0045111290326197,0.0021710459627011,0.0002559571369444,0.0087663009282949,11896
1003,1003,5,0.25,uplift,random,0.001895106593197,0.002243842581996,-0.0025027440544925,0.0062929572408866,11896
1003,1003,5,0.25,risk,random,0.0064062356258167,0.0027092103634967,0.0010962808868204,0.011716190364813,11896
1003,1003,5,0.5,risk,uplift,0.0058421761847147,0.0027291260380821,0.0004931874408032,0.0111911649286262,11896
1003,1003,5,0.5,uplift,random,-0.0014001505590231,0.0020972605606703,-0.0055107057241333,0.002710404606087,11896
1003,1003,5,0.5,risk,random,0.0044420256256915,0.0020969043506976,0.0003321686192989,0.0085518826320842,11896
1004,1004,5,0.1,risk,uplift,0.0012519692460468,0.0015414775843115,-0.0017692713021795,0.0042732097942732,11896
1004,1004,5,0.1,uplift,random,0.0001980578579582,0.0024931410402885,-0.004688408789386,0.0050845245053025,11896
1004,1004,5,0.1,risk,random,0.001450027104005,0.002739167832801,-0.0039186431958956,0.0068186974039056,11896
1004,1004,5,0.25,risk,uplift,0.0037283543464262,0.0021584756364493,-0.0005021801625216,0.007958888855374,11896
1004,1004,5,0.25,uplift,random,0.000233869226751,0.0023996056003909,-0.0044692713271157,0.0049370097806179,11896
1004,1004,5,0.25,risk,random,0.0039622235731773,0.0028141964510408,-0.0015535001162831,0.0094779472626378,11896
1004,1004,5,0.5,risk,uplift,0.0034560161919814,0.0025138555400641,-0.0014710501288808,0.0083830825128436,11896
1004,1004,5,0.5,uplift,random,-0.0016518383820725,0.0021309768011803,-0.0058284761642762,0.0025247994001312,11896
1004,1004,5,0.5,risk,random,0.0018041778099089,0.0021309664159535,-0.0023724396176244,0.0059807952374423,11896
1005,1005,5,0.1,risk,uplift,0.0016159487204047,0.0015162657889741,-0.0013558776169748,0.0045877750577844,11896
1005,1005,5,0.1,uplift,random,0.0030077591872002,0.0023889041528899,-0.001674406914982,0.0076899252893826,11896
1005,1005,5,0.1,risk,random,0.004623707907605,0.0026964109147233,-0.0006611603727733,0.0099085761879834,11896
1005,1005,5,0.25,risk,uplift,0.0025963215475741,0.0021780603296951,-0.0016725982547837,0.0068652413499321,11896
1005,1005,5,0.25,uplift,random,0.003026235752577,0.0023281267980868,-0.0015368089231157,0.0075892804282698,11896
1005,1005,5,0.25,risk,random,0.0056225573001512,0.0027322578873861,0.0002674302443988,0.0109776843559036,11896
1005,1005,5,0.5,risk,uplift,0.0053328411479551,0.0026536941016984,0.0001316962826397,0.0105339860132705,11896
1005,1005,5,0.5,uplift,random,0.0003901991989074,0.0020923942302651,-0.0037108181338716,0.0044912165316864,11896
1005,1005,5,0.5,risk,random,0.0057230403468625,0.0020917392019269,0.001623306846035,0.00982277384769,11896
1006,1006,5,0.1,risk,uplift,0.0017547528779405,0.0013887702423234,-0.0009671867798142,0.0044766925356954,11896
1006,1006,5,0.1,uplift,random,0.0020620997498515,0.0023865539226893,-0.0026154599857824,0.0067396594854854,11896
1006,1006,5,0.1,risk,random,0.0038168526277921,0.0026685994237967,-0.0014135061320139,0.0090472113875981,11896
1006,1006,5,0.25,risk,uplift,0.0043213929777486,0.0022499256665276,-8.838029653773088e-05,0.008731166252035,11896
1006,1006,5,0.25,uplift,random,0.0011639923216838,0.002300361711912,-0.0033446337850787,0.0056726184284464,11896
1006,1006,5,0.25,risk,random,0.0054853852994325,0.0027248103405126,0.0001448551673254,0.0108259154315396,11896
1006,1006,5,0.5,risk,uplift,0.004883123307813,0.0026520937921507,-0.0003148850084246,0.0100811316240508,11896
1006,1006,5,0.5,uplift,random,-0.0006846815403921,0.0021071473215564,-0.0048146144007628,0.0034452513199785,11896
1006,1006,5,0.5,risk,random,0.0041984417674209,0.0021068050145815,6.917981639263313e-05,0.0083277037184492,11896
1007,1007,5,0.1,risk,uplift,0.0016159082204356,0.0014877305741223,-0.0012999901235432,0.0045318065644145,11896
1007,1007,5,0.1,uplift,random,0.0026870645235291,0.0024140656212746,-0.0020444171504855,0.0074185461975438,11896
1007,1007,5,0.1,risk,random,0.0043029727439647,0.0026721395038247,-0.0009343244451983,0.0095402699331279,11896
1007,1007,5,0.25,risk,uplift,0.0053107017845194,0.0023001911435099,0.0008024099856819,0.009818993583357,11896
1007,1007,5,0.25,uplift,random,0.0003229120505566,0.0022997636219554,-0.0041845418214313,0.0048303659225447,11896
1007,1007,5,0.25,risk,random,0.0056336138350761,0.0027629002022084,0.0002184289458692,0.0110487987242831,11896
1007,1007,5,0.5,risk,uplift,0.0080635557965434,0.0028064120990108,0.0025630891567046,0.0135640224363821,11896
1007,1007,5,0.5,uplift,random,-0.0026740874516789,0.0021191583080803,-0.0068275614130554,0.0014793865096974,11896
1007,1007,5,0.5,risk,random,0.0053894683448644,0.0021187239538857,0.0012368457020661,0.0095420909876627,11896
1008,1008,5,0.1,risk,uplift,0.0025282496526705,0.0015999022978779,-0.000607501229953,0.005664000535294,11896
1008,1008,5,0.1,uplift,random,0.0031167843411532,0.0023311388854507,-0.001452163917291,0.0076857325995976,11896
1008,1008,5,0.1,risk,random,0.0056450339938237,0.0026512241567582,0.0004487301316349,0.0108413378560125,11896
1008,1008,5,0.25,risk,uplift,0.0008165250980566,0.0020888442968235,-0.0032775344930293,0.0049105846891427,11896
1008,1008,5,0.25,uplift,random,0.0045743001450933,0.0023019018700926,6.265538376640841e-05,0.0090859449064203,11896
1008,1008,5,0.25,risk,random,0.00539082524315,0.0026770129747811,0.0001439762264326,0.0106376742598675,11896
1008,1008,5,0.5,risk,uplift,0.0039603497865412,0.0026106992044659,-0.0011565266286794,0.0090772262017619,11896
1008,1008,5,0.5,uplift,random,0.0007603172255892,0.0020812391117195,-0.0033188364765972,0.0048394709277757,11896
1008,1008,5,0.5,risk,random,0.0047206670121305,0.0020808006603548,0.0006423726588278,0.0087989613654331,11896
1009,1009,5,0.1,risk,uplift,0.0009587716169491,0.0012676434228414,-0.0015257638370591,0.0034433070709574,11896
1009,1009,5,0.1,uplift,random,0.0016627523468259,0.0023121947066314,-0.0028690660034159,0.0061945706970678,11896
1009,1009,5,0.1,risk,random,0.002621523963775,0.0025250249172455,-0.0023274339340923,0.0075704818616425,11896
1009,1009,5,0.25,risk,uplift,0.0022870465200378,0.0022432242428232,-0.0021095922051427,0.0066836852452185,11896
1009,1009,5,0.25,uplift,random,0.0024572653279976,0.0022601192231203,-0.0019724869500848,0.00688701760608,11896
1009,1009,5,0.25,risk,random,0.0047443118480354,0.002641791978078,-0.0004335052836442,0.0099221289797152,11896
1009,1009,5,0.5,risk,uplift,0.0051540511869103,0.0026842421765163,-0.0001069668048451,0.0104150691786658,11896
1009,1009,5,0.5,uplift,random,-9.49281916376351e-05,0.0020806037067554,-0.0041728365229787,0.0039829801397034,11896
1009,1009,5,0.5,risk,random,0.0050591229952727,0.0020800867339579,0.0009822279119955,0.0091360180785499,11896
