trigger,seed,net_value,retrainings,retraining_requests,false_alarm_pre_drift,first_post_drift_retrain,detection_delay,treatment_recovery_step,mean_oracle_value_per_customer
policy_value,0,-15247.988246032393,14,14,True,14.0,0.0,22.0,-0.5873994123016193
policy_value,1,-31993.55086049306,21,21,True,14.0,0.0,16.0,-1.3371775430246533
policy_value,2,-14283.560522730093,12,12,True,15.0,1.0,19.0,-0.5641780261365044
policy_value,3,-5803.588091839574,13,13,False,17.0,3.0,22.0,-0.12767940459197752
policy_value,4,-33781.238917408074,18,18,True,14.0,0.0,22.0,-1.464061945870403
policy_value,5,-22659.27235384815,10,10,True,15.0,1.0,20.0,-1.0079636176924072
policy_value,6,-32114.710424227153,15,15,False,15.0,1.0,19.0,-1.418235521211358
policy_value,7,-5480.32944959362,10,10,False,16.0,2.0,21.0,-0.14901647247968117
policy_value,8,-10171.76977593358,17,17,True,14.0,0.0,17.0,-0.29608848879667854
policy_value,9,-16725.734004816506,13,13,False,15.0,1.0,19.0,-0.6737867002408254
policy_value,10,-16925.591449491396,20,20,True,14.0,0.0,17.0,-0.5962795724745696
policy_value,11,-8242.783370849113,9,9,True,15.0,1.0,19.0,-0.2996391685424557
policy_value,12,-19779.22336975796,13,13,True,14.0,0.0,23.0,-0.8264611684878994
policy_value,13,-10595.598739440158,10,10,False,15.0,1.0,20.0,-0.40477993697200815
policy_value,14,-26650.501698630844,9,9,True,17.0,3.0,24.0,-1.2200250849315417
policy_value,15,-19877.70057740874,13,13,True,14.0,0.0,19.0,-0.8313850288704375
policy_value,16,-12435.635934109756,13,13,True,14.0,0.0,17.0,-0.4592817967054874
policy_value,17,-6767.614156226297,18,18,True,14.0,0.0,19.0,-0.11338070781131498
policy_value,18,-30720.56673400641,11,11,True,14.0,0.0,16.0,-1.3985283367003212
policy_value,19,9757.600299918933,16,16,True,14.0,0.0,18.0,0.687880014995947
policy_value,20,257.69196468004884,14,14,True,15.0,1.0,19.0,0.18788459823400253
policy_value,21,-28093.753195120968,14,14,True,14.0,0.0,23.0,-1.2296876597560482
policy_value,22,162.13440523862346,15,15,True,15.0,1.0,19.0,0.1956067202619315
policy_value,23,-10530.584526701505,14,14,True,14.0,0.0,19.0,-0.3515292263350747
policy_value,24,-46150.40515672394,20,20,True,15.0,1.0,25.0,-2.0575202578361975
policy_value,25,4593.607999660399,15,15,True,15.0,1.0,18.0,0.41718039998302053
policy_value,26,6952.348803138199,15,15,True,15.0,1.0,19.0,0.5351174401569101
policy_value,27,4776.126088172006,13,13,True,14.0,0.0,19.0,0.4013063044086013
policy_value,28,-23744.67312253608,7,7,False,15.0,1.0,23.0,-1.0997336561268047
policy_value,29,-10554.113508689908,12,12,True,14.0,0.0,19.0,-0.377705675434495
policy_value_confident,0,-31226.478806124203,2,2,False,23.0,9.0,24.0,-1.5363239403062103
policy_value_confident,1,-18871.26951684645,4,4,True,14.0,0.0,,-0.893563475842322
policy_value_confident,2,-6654.345450899507,6,6,False,16.0,2.0,19.0,-0.25771727254497495
policy_value_confident,3,-17844.499708209165,8,8,False,21.0,7.0,22.0,-0.7922249854104569
policy_value_confident,4,-34518.31420761468,4,4,True,21.0,7.0,22.0,-1.6759157103807343
policy_value_confident,5,-54261.248444616765,1,1,False,18.0,4.0,,-2.700562422230838
policy_value_confident,6,-61756.11692201886,1,1,False,17.0,3.0,,-3.0753058461009437
policy_value_confident,7,-31734.177773605716,4,4,False,23.0,9.0,24.0,-1.5367088886802858
policy_value_confident,8,-32466.297670065982,3,3,False,25.0,11.0,26.0,-1.5858148835032984
policy_value_confident,9,-24829.16825803891,4,4,False,16.0,2.0,19.0,-1.1914584129019463
policy_value_confident,10,-5392.309444685581,3,3,False,16.0,2.0,17.0,-0.2321154722342795
policy_value_confident,11,-27980.855793723174,3,3,False,23.0,9.0,24.0,-1.361542789686159
policy_value_confident,12,-32375.535442482982,3,3,False,16.0,2.0,24.0,-1.5812767721241492
policy_value_confident,13,-44796.518722842746,3,3,False,15.0,1.0,25.0,-2.2023259361421377
policy_value_confident,14,-74715.60371616446,1,1,True,,,,-3.7232801858082225
policy_value_confident,15,-61201.03932929992,2,2,False,27.0,13.0,28.0,-3.0350519664649966
policy_value_confident,16,-4736.533068276245,5,5,False,15.0,1.0,17.0,-0.17432665341381207
policy_value_confident,17,1824.9453591703568,2,2,False,19.0,5.0,20.0,0.1162472679585176
policy_value_confident,18,-12427.849951461405,4,4,False,14.0,0.0,16.0,-0.5713924975730703
policy_value_confident,19,2869.411664357795,7,7,False,19.0,5.0,20.0,0.23097058321788858
policy_value_confident,20,-30042.09023620979,5,5,False,16.0,2.0,25.0,-1.4396045118104894
policy_value_confident,21,-36787.07408334362,2,2,False,22.0,8.0,23.0,-1.8143537041671818
policy_value_confident,22,-1151.8926474837997,4,4,False,16.0,2.0,20.0,-0.007594632374189123
policy_value_confident,23,-64434.632620169,0,0,False,,,,-3.2217316310084487
policy_value_confident,24,-36410.33448563268,5,5,False,20.0,6.0,25.0,-1.7580167242816338
policy_value_confident,25,-2591.5142209602923,2,2,False,16.0,2.0,18.0,-0.1045757110480151
policy_value_confident,26,-3008.379718764862,4,4,False,19.0,5.0,20.0,-0.10041898593824307
policy_value_confident,27,-1416.7285427470465,5,5,False,19.0,5.0,20.0,-0.00833642713735241
policy_value_confident,28,-71258.39086971863,0,0,False,,,,-3.562919543485932
policy_value_confident,29,-11937.268575827056,3,3,False,18.0,4.0,19.0,-0.5593634287913534
