step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.030843750000000003,0.21747794330893797,,26.706821754845304,26.247984916267992,-24.73828334779053,78.15192685748114,69.88091494453623,80,8619.312235304404,10.774140294130504,0.08266405221676164,0.0950949003610232,0.25,0.2675,0.1,False,False,False,8619.312235304404,8619.312235304404
6,treatment,policy_value,profit,0.03646875000000001,0.22112373291517176,0.21104804788909143,36.76891300854963,18.855256019157643,-0.18670970828140554,73.72453572538066,67.78304925875965,158,8666.747531469471,10.833434414336839,0.08251330906281115,0.09188629703051467,0.25,0.28125,0.0975,False,False,False,8666.747531469471,17286.059766773877
7,treatment,policy_value,profit,0.0324375,0.21716606850036965,0.14412998049085976,29.02892694191934,14.9735190380239,-0.3186310944323303,58.37648497827101,53.658174039839864,238,8470.258861932485,10.587823577415607,0.07851119474582209,0.09011205120703153,0.25,0.28,0.1,False,False,False,8470.258861932485,25756.31862870636
8,treatment,policy_value,profit,0.033625,0.22141994298926002,0.14441448241622049,19.907475654603044,13.86635184998981,-7.270074568337325,47.085025877543416,42.71559478764403,237,9410.084700583335,11.762605875729168,0.08582431578628727,0.0971014495746968,0.25,0.27625,0.09875,False,False,False,9410.084700583335,35166.40332928969
9,treatment,policy_value,profit,0.0355,0.21758958043534038,0.15451287977625855,-6.6186252972635,12.77272989506298,-31.652715875844997,18.415465281318,14.390645796702334,240,8502.451896558812,10.628064870698516,0.08092555360600535,0.08849747948472075,0.25,0.2625,0.10125,True,True,False,8252.451896558812,43418.85522584851
10,treatment,policy_value,profit,0.05130888819095478,0.21678147266299624,0.10725062044018205,-16.806512041688904,11.284708566209472,-38.924134407490094,5.311110324112285,1.7551817725310848,247,7188.209139283136,8.98526142410392,0.07971987615366656,0.11745181025590784,0.25,0.275,0.10875,True,True,False,6938.209139283136,50357.06436513164
11,treatment,policy_value,profit,0.04786844135802469,0.22615355014925814,0.14392238312695974,-14.629543521380691,10.530049851458559,-35.2680619856508,6.008974942889422,2.6908471687707216,252,8259.024088469167,10.323780110586458,0.07973791673939656,0.10792837347060705,0.25,0.28625,0.105,True,True,False,8009.024088469167,58366.08845360081
12,treatment,policy_value,profit,0.051956736618004866,0.22792995345271677,0.10196459214922861,-11.376848368844115,10.482389589419627,-31.921954436024183,9.168257698335953,5.865148166431105,264,7746.365657065528,9.68295707133191,0.08109287351125158,0.04738832037860496,0.25,0.285,0.11625,True,True,False,7496.365657065528,65862.45411066634
13,treatment,policy_value,profit,0.05341981132075471,0.21995852797693766,0.09287243982201045,4.565200958782948,12.004915128100272,-18.964000329753627,28.094402247319525,24.31152914848327,257,6502.7368959574615,8.128421119946827,0.08193873605279947,0.04890564301105353,0.25,0.28375,0.1,False,False,False,6502.7368959574615,72365.1910066238
14,treatment,policy_value,profit,0.048154481132075475,0.20663705364084295,0.12090655952512806,-0.2516236203109108,11.787085765466363,-23.35388720330971,22.850639962687886,19.136407152204498,257,-9359.280014760923,-11.699100018451155,-0.14376923526324134,0.03790097484608942,0.25,0.26875,0.105,True,True,False,-9609.280014760923,62755.91099186288
15,treatment,policy_value,profit,0.045963785046728975,0.20384114053201854,0.15610139918471924,-9.306108429679819,11.493444273180081,-31.83284526343091,13.220628404071272,9.598925069225059,243,-9833.965217604153,-12.29245652200519,-0.14320660179447972,0.03309031867521025,0.25,0.2675,0.09875,True,True,False,-10083.965217604153,52671.945774258726
