step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,none,never,profit,0.034875,0.21573170267602046,,-21.643122241096503,26.577979921782763,-73.73500566961938,30.44876118742638,22.07376443029126,70,8950.585118192055,11.188231397740068,0.08504858565072039,0.09695826701054294,0.25,0.2725,0.0875,False,False,False,8950.585118192055,8950.585118192055
6,none,never,profit,0.028562500000000005,0.2071781323251461,0.17333907136418344,-5.260123815554774,16.473070141041635,-37.54674800679851,27.026500375688965,21.83566535296355,146,8501.55276926816,10.6269409615852,0.08135615353492817,0.09139168529487901,0.25,0.2625,0.095,False,False,False,8501.55276926816,17452.137887460216
7,none,never,profit,0.028062499999999997,0.2172328380862862,0.10244857009062622,4.524101752893178,12.776953411439289,-20.518266765674,29.566470271460354,25.540319913089068,228,8560.969433541828,10.701211791927285,0.08063579435075337,0.08956878422114052,0.25,0.28875,0.1025,False,False,False,8560.969433541828,26013.107321002044
8,none,never,profit,0.03325,0.22323165670077638,0.1304957532994665,4.604727227013908,10.440136619231536,-15.857564540357657,25.06701899438547,21.777223811025774,248,8626.895971590551,10.783619964488189,0.0813963199943425,0.08930977827194703,0.25,0.2825,0.1125,False,False,False,8626.895971590551,34640.00329259259
9,none,never,profit,0.033468750000000005,0.2243709965673407,0.14897834889476144,5.858883865595625,11.53127615099284,-16.74200208613599,28.459769817327242,24.826145265935203,250,9413.801127284823,11.767251409106029,0.08291286072166057,0.09321739088743289,0.25,0.27125,0.0975,False,False,False,9413.801127284823,44053.804419877415
10,none,never,profit,0.029906250000000002,0.22456530015835852,0.16902165019668472,2.4665242233254228,11.615901494292435,-20.30022435345274,25.233272800103585,21.57298192652335,259,9318.106788990608,11.64763348623826,0.08293839801078473,0.09326312331141447,0.25,0.26375,0.11375,False,False,False,9318.106788990608,53371.91120886803
11,none,never,profit,0.033968750000000006,0.1984328863531964,0.16266781419821877,-2.3236373688610663,12.225495591810828,-26.285168421963476,21.63789368424134,17.7855133966082,251,9395.161364724412,11.743951705905515,0.08351870018280957,0.09441822468711651,0.25,0.28375,0.1025,False,False,False,9395.161364724412,62767.072573592435
12,none,never,profit,0.035375000000000004,0.20851035940980808,0.13521137794856075,-12.696583230301533,10.516842862297867,-33.30921647147248,7.916050010869414,4.602083895827809,239,8607.300608750777,10.75912576093847,0.07618168397102897,0.08097643870473709,0.25,0.27625,0.0825,False,False,False,8607.300608750777,71374.37318234322
13,none,never,profit,0.03421875,0.21831366531131507,0.18455627720652057,-22.004671744936445,11.085086893397127,-43.7310428214918,-0.2783006683810889,-3.771326363259959,208,9260.80511618896,11.576006395236199,0.08431010612403483,0.09223624452083427,0.25,0.2675,0.075,False,False,False,9260.80511618896,80635.17829853218
14,none,never,profit,0.030625,0.19673584192734836,0.1741218787003452,-6.944521287257777,11.983322014516215,-30.431400850855518,16.54235827633996,12.766289391246636,209,9003.544600285437,11.254430750356796,0.07993493340547658,0.08952072134556723,0.25,0.27875,0.10375,False,False,False,9003.544600285437,89638.72289881762
15,none,never,profit,0.034625,0.2189619451452115,0.160928846454567,-4.464779265604428,14.650273212923683,-33.17878712660674,24.249228595397884,19.63277576450308,220,9168.993805247039,11.461242256558798,0.08371236443126322,0.09393199994016772,0.25,0.27375,0.09625,False,False,False,9168.993805247039,98807.71670406466
16,none,never,profit,0.0393125,0.21161148917230183,0.13671505195497036,2.906607753337753,13.383488230847787,-23.324547166639586,29.13776267331509,24.920486911110068,230,8704.561283598283,10.880701604497853,0.0805808211370644,0.08654993681631223,0.25,0.28,0.0875,False,False,False,8704.561283598283,107512.27798766294
17,none,never,profit,0.02709375,0.20776954647748652,0.16266002753444106,16.345243655418653,14.031146612502392,-11.155298366887209,43.845785677724514,39.42442605128106,242,8405.631834540085,10.507039793175107,0.07853590973948689,0.08531784375208953,0.25,0.2675,0.11875,False,False,False,8405.631834540085,115917.90982220302
18,none,never,profit,0.029718750000000002,0.21270312606395755,0.17065779602283448,22.148451042026178,12.55419581519363,-2.4573206106167937,46.75422269466915,42.79826556210641,249,9004.670847371348,11.255838559214185,0.08175906555514147,0.09294188761271766,0.25,0.2825,0.105,False,False,False,9004.670847371348,124922.58066957437
19,none,never,profit,0.032937499999999995,0.20887841904081064,0.1646510555092384,27.823388090864857,12.30154062696588,3.7128115076554664,51.93396467407425,48.05762180822056,270,8625.34707161709,10.781683839521364,0.08126816428976719,0.08912940483360668,0.25,0.285,0.11375,False,False,False,8625.34707161709,133547.92774119147
20,none,never,profit,0.02740625,0.21490285307488285,0.09668665907837586,16.533020538945575,12.232387683703985,-7.44201876604556,40.50805984393671,36.65350778676259,247,8683.794222207345,10.854742777759181,0.08002371218054984,0.08989297713229477,0.25,0.26875,0.09,False,False,False,8683.794222207345,142231.7219633988
21,none,never,profit,0.03178125,0.21193245948819267,0.1348552821555265,21.590081166088307,14.113876372770477,-6.0726082067926335,49.252770538969244,44.8053419081845,233,9157.704260666129,11.447130325832662,0.08288318934519197,0.0949352735188145,0.25,0.26125,0.0875,False,False,False,9157.704260666129,151389.42622406493
22,none,never,profit,0.032687499999999994,0.2129456812774638,0.16891681850694007,-0.9193078899575559,14.1010983483071,-28.556952795096706,26.718337015181596,22.274934872254786,230,8318.41005473387,10.398012568417336,0.0775201424665198,0.08583282149371152,0.25,0.275,0.11,False,False,False,8318.41005473387,159707.8362787988
23,none,never,profit,0.03490625,0.2128223521491541,0.13564682185412777,15.450672387529504,13.344037692042768,-10.703160897219298,41.60450567227831,37.399661183463195,240,9347.996907122146,11.684996133902683,0.08318062791829023,0.0927286542520015,0.25,0.29,0.1025,False,False,False,9347.996907122146,169055.83318592093
24,none,never,profit,0.032812499999999994,0.21584846796350135,0.1259572854837654,13.018105707062546,11.954071773539015,-10.411444437680764,36.447655851805855,32.6808040206064,245,8774.819012374008,10.96852376546751,0.08202893804635698,0.09188118147597153,0.25,0.26625,0.09375,False,False,False,8774.819012374008,177830.65219829493
25,none,never,profit,0.027999999999999997,0.21738617005927224,0.19455326269428094,29.936238290755533,12.51670068591991,5.403955741084729,54.468520840426336,50.52437881145687,232,9337.81306522885,11.672266331536061,0.08303590228218968,0.09531753924543775,0.25,0.2775,0.09375,False,False,False,9337.81306522885,187168.46526352377
26,none,never,profit,0.036875000000000005,0.21277250058117025,0.17657638160192565,25.232395305620013,12.28171124322573,1.160683600376938,49.30410701086309,45.434012589210525,225,8645.144290399998,10.806430362999997,0.07852791826402754,0.08489970859897031,0.25,0.28625,0.09375,False,False,False,8645.144290399998,195813.60955392377
27,none,never,profit,0.031,0.20711363612444497,0.17202769939530713,19.163627357008615,10.963277755850875,-2.324002196968202,40.65125691098543,37.196614536996314,235,9265.450379766658,11.581812974708322,0.0809559939971934,0.09160211724596107,0.25,0.28125,0.10625,False,False,False,9265.450379766658,205079.05993369044
28,none,never,profit,0.0325,0.22190138027299633,0.11847475460123162,27.469523605192958,10.843908388413352,6.215853712251015,48.723193498134904,45.30616564820414,247,8845.127181537106,11.056408976921382,0.08226134971909904,0.09029352922973295,0.25,0.28,0.10875,False,False,False,8845.127181537106,213924.18711522754
29,none,never,profit,0.0319375,0.20615788009726088,0.10207107349501504,24.38778611302186,12.375887130624845,0.13149306026442176,48.6440791657793,44.744308946572176,261,8590.863942698015,10.73857992837252,0.07987526570963253,0.08900496642134698,0.25,0.2725,0.11125,False,False,False,8590.863942698015,222515.05105792556
