strategy,seed,net_value,decision_value,retraining_cost_total,retrainings,false_alarm,detected,missed_detection,detection_delay,recovered,missed_recovery,recovery_step
point,0,-15247.988246032393,-11747.988246032393,3500.0,14,True,True,False,0.0,True,False,22.0
point,1,-31993.55086049306,-26743.55086049306,5250.0,21,True,True,False,0.0,True,False,16.0
point,2,-14283.560522730093,-11283.560522730093,3000.0,12,True,True,False,1.0,True,False,19.0
point,3,-5803.588091839574,-2553.588091839574,3250.0,13,False,True,False,3.0,True,False,22.0
point,4,-33781.238917408074,-29281.238917408074,4500.0,18,True,True,False,0.0,True,False,22.0
point,5,-22659.27235384815,-20159.27235384815,2500.0,10,True,True,False,1.0,True,False,20.0
point,6,-32114.710424227153,-28364.710424227153,3750.0,15,False,True,False,1.0,True,False,19.0
point,7,-5480.32944959362,-2980.3294495936198,2500.0,10,False,True,False,2.0,True,False,21.0
point,8,-10171.76977593358,-5921.769775933581,4250.0,17,True,True,False,0.0,True,False,17.0
point,9,-16725.734004816506,-13475.734004816506,3250.0,13,False,True,False,1.0,True,False,19.0
point,10,-16925.591449491396,-11925.591449491396,5000.0,20,True,True,False,0.0,True,False,17.0
point,11,-8242.783370849113,-5992.7833708491125,2250.0,9,True,True,False,1.0,True,False,19.0
point,12,-19779.22336975796,-16529.22336975796,3250.0,13,True,True,False,0.0,True,False,23.0
point,13,-10595.598739440158,-8095.598739440158,2500.0,10,False,True,False,1.0,True,False,20.0
point,14,-26650.501698630844,-24400.501698630844,2250.0,9,True,True,False,3.0,True,False,24.0
point,15,-19877.70057740874,-16627.70057740874,3250.0,13,True,True,False,0.0,True,False,19.0
point,16,-12435.635934109756,-9185.635934109756,3250.0,13,True,True,False,0.0,True,False,17.0
point,17,-6767.614156226297,-2267.6141562262974,4500.0,18,True,True,False,0.0,True,False,19.0
point,18,-30720.56673400641,-27970.56673400641,2750.0,11,True,True,False,0.0,True,False,16.0
point,19,9757.600299918933,13757.600299918933,4000.0,16,True,True,False,0.0,True,False,18.0
point,20,257.69196468004884,3757.691964680049,3500.0,14,True,True,False,1.0,True,False,19.0
point,21,-28093.753195120968,-24593.753195120968,3500.0,14,True,True,False,0.0,True,False,23.0
point,22,162.13440523862346,3912.1344052386235,3750.0,15,True,True,False,1.0,True,False,19.0
point,23,-10530.584526701505,-7030.584526701505,3500.0,14,True,True,False,0.0,True,False,19.0
point,24,-46150.40515672394,-41150.40515672394,5000.0,20,True,True,False,1.0,True,False,25.0
point,25,4593.607999660399,8343.607999660398,3750.0,15,True,True,False,1.0,True,False,18.0
point,26,6952.348803138199,10702.3488031382,3750.0,15,True,True,False,1.0,True,False,19.0
point,27,4776.126088172006,8026.126088172006,3250.0,13,True,True,False,0.0,True,False,19.0
point,28,-23744.67312253608,-21994.67312253608,1750.0,7,False,True,False,1.0,True,False,23.0
point,29,-10554.113508689908,-7554.1135086899085,3000.0,12,True,True,False,0.0,True,False,19.0
conf_80,0,-23596.818586404235,-22096.818586404235,1500.0,6,False,True,False,1.0,True,False,23.0
conf_80,1,-21492.58595746022,-18992.58595746022,2500.0,10,True,True,False,0.0,True,False,19.0
conf_80,2,-7606.508927880155,-5856.508927880155,1750.0,7,True,True,False,2.0,True,False,19.0
conf_80,3,-17631.28461128928,-15381.28461128928,2250.0,9,False,True,False,7.0,True,False,22.0
conf_80,4,-27450.394914703367,-24450.394914703367,3000.0,12,True,True,False,5.0,True,False,22.0
conf_80,5,-22805.309624884583,-22055.309624884583,750.0,3,False,True,False,2.0,True,False,21.0
conf_80,6,-32088.685014712806,-29088.685014712806,3000.0,12,False,True,False,2.0,True,False,19.0
conf_80,7,-18243.322679993846,-17493.322679993846,750.0,3,False,True,False,2.0,True,False,24.0
conf_80,8,-2526.914389636174,223.08561036382616,2750.0,11,True,True,False,0.0,True,False,17.0
conf_80,9,-22242.72873043478,-20242.72873043478,2000.0,8,False,True,False,2.0,True,False,19.0
conf_80,10,-10767.857691296358,-6767.857691296358,4000.0,16,False,True,False,0.0,True,False,17.0
conf_80,11,3211.0579637894343,4961.057963789434,1750.0,7,True,True,False,0.0,True,False,19.0
conf_80,12,-27626.114854555755,-25876.114854555755,1750.0,7,False,True,False,0.0,True,False,24.0
conf_80,13,-37861.27186739852,-36861.27186739852,1000.0,4,False,True,False,1.0,True,False,24.0
conf_80,14,-36562.68693303975,-35812.68693303975,750.0,3,True,True,False,9.0,True,False,24.0
conf_80,15,-15277.616822629127,-13527.616822629127,1750.0,7,False,True,False,3.0,True,False,22.0
conf_80,16,-4257.627158986557,-2257.6271589865573,2000.0,8,False,True,False,1.0,True,False,17.0
conf_80,17,-10801.92795755446,-8301.92795755446,2500.0,10,False,True,False,2.0,True,False,20.0
conf_80,18,19120.632542604882,20620.632542604882,1500.0,6,False,True,False,0.0,True,False,16.0
conf_80,19,2504.712233574218,4754.712233574218,2250.0,9,False,True,False,0.0,True,False,20.0
conf_80,20,2763.242849686005,4513.242849686005,1750.0,7,False,True,False,2.0,True,False,21.0
conf_80,21,-29340.547021784216,-27590.547021784216,1750.0,7,False,True,False,0.0,True,False,23.0
conf_80,22,159.13144457545104,3159.131444575451,3000.0,12,False,True,False,1.0,True,False,19.0
conf_80,23,-8693.59024167261,-6943.590241672609,1750.0,7,True,True,False,3.0,True,False,19.0
conf_80,24,-59238.491282396506,-56488.491282396506,2750.0,11,True,True,False,6.0,True,False,25.0
conf_80,25,-1915.7182022246661,-415.71820222466613,1500.0,6,True,True,False,1.0,True,False,18.0
conf_80,26,3601.0480504893994,5601.048050489399,2000.0,8,False,True,False,4.0,True,False,19.0
conf_80,27,6782.534130779566,8782.534130779566,2000.0,8,False,True,False,3.0,True,False,19.0
conf_80,28,-23340.544270644084,-21840.544270644084,1500.0,6,False,True,False,4.0,True,False,24.0
conf_80,29,-3183.9868564407016,-933.9868564407016,2250.0,9,False,True,False,2.0,True,False,19.0
conf_90,0,-30544.821141466335,-29794.821141466335,750.0,3,False,True,False,1.0,True,False,24.0
conf_90,1,-16685.925627204422,-14435.925627204422,2250.0,9,True,True,False,0.0,True,False,19.0
conf_90,2,-6643.941961871542,-4893.941961871542,1750.0,7,False,True,False,1.0,True,False,19.0
conf_90,3,-17631.28461128928,-15381.28461128928,2250.0,9,False,True,False,7.0,True,False,22.0
conf_90,4,-34362.77342606392,-32612.77342606392,1750.0,7,True,True,False,7.0,True,False,22.0
conf_90,5,-23808.72842989893,-22808.72842989893,1000.0,4,False,True,False,2.0,True,False,24.0
conf_90,6,-9993.87062752073,-9493.87062752073,500.0,2,False,True,False,3.0,True,False,19.0
conf_90,7,-31734.177773605716,-30734.177773605716,1000.0,4,False,True,False,9.0,True,False,24.0
conf_90,8,-9203.051269901682,-7953.051269901682,1250.0,5,True,True,False,1.0,True,False,19.0
conf_90,9,-21070.699717889394,-19570.699717889394,1500.0,6,False,True,False,2.0,True,False,19.0
conf_90,10,-8058.830600053049,-4558.830600053049,3500.0,14,False,True,False,1.0,True,False,17.0
conf_90,11,-17977.85698072947,-17727.85698072947,250.0,1,False,True,False,5.0,True,False,20.0
conf_90,12,-29088.750090338675,-27588.750090338675,1500.0,6,False,True,False,0.0,True,False,24.0
conf_90,13,-37861.27186739852,-36861.27186739852,1000.0,4,False,True,False,1.0,True,False,24.0
conf_90,14,-32796.71152275342,-32046.711522753423,750.0,3,True,True,False,7.0,True,False,24.0
conf_90,15,-11452.970724683,-10452.970724683,1000.0,4,False,True,False,3.0,True,False,22.0
conf_90,16,2873.7328001453234,4373.732800145323,1500.0,6,False,True,False,1.0,True,False,17.0
conf_90,17,-10334.082605660587,-8334.082605660587,2000.0,8,False,True,False,5.0,True,False,20.0
conf_90,18,20356.553132134537,21606.553132134537,1250.0,5,False,True,False,0.0,True,False,16.0
conf_90,19,-1741.752481625609,-1491.752481625609,250.0,1,False,True,False,3.0,True,False,18.0
conf_90,20,-29685.153715889883,-28185.153715889883,1500.0,6,False,True,False,2.0,True,False,25.0
conf_90,21,-29090.547021784216,-27590.547021784216,1500.0,6,False,True,False,0.0,True,False,23.0
conf_90,22,503.3950753417207,2003.3950753417207,1500.0,6,False,True,False,1.0,True,False,19.0
