window,cooldown,net_at_cost,retraining_cost
5,0,-9895.156928153356,0
5,2,-13050.451141896725,0
5,4,-23023.049318770813,0
10,0,-14337.992959458488,0
10,2,-20149.39959887104,0
10,4,-25616.074410314905,0
5,0,-11191.823594820022,100
5,2,-13540.451141896725,100
5,4,-23349.71598543748,100
10,0,-15577.992959458488,100
10,2,-20646.066265537705,100
10,4,-25936.074410314905,100
5,0,-13136.823594820022,250
5,2,-14275.451141896725,250
5,4,-23839.71598543748,250
10,0,-17437.992959458486,250
10,2,-21391.066265537705,250
10,4,-26416.074410314905,250
5,0,-15081.823594820022,400
5,2,-15010.451141896725,400
5,4,-24329.71598543748,400
10,0,-19297.99295945849,400
10,2,-22136.066265537705,400
10,4,-26896.074410314905,400
5,0,-16378.49026148669,500
5,2,-15500.451141896725,500
5,4,-24656.382652104145,500
10,0,-20537.99295945849,500
10,2,-22632.732932204373,500
10,4,-27216.074410314905,500
5,0,-19620.156928153356,750
5,2,-16725.451141896727,750
5,4,-25473.049318770813,750
10,0,-23637.99295945849,750
10,2,-23874.39959887104,750
10,4,-28016.074410314905,750
5,0,-22861.823594820024,1000
5,2,-17950.451141896727,1000
5,4,-26289.71598543748,1000
10,0,-26737.99295945849,1000
10,2,-25116.066265537705,1000
10,4,-28816.074410314905,1000
5,0,-29345.156928153356,1500
5,2,-20400.451141896727,1500
5,4,-27923.049318770813,1500
10,0,-32937.99295945849,1500
10,2,-27599.39959887104,1500
10,4,-30416.074410314905,1500
