window,cooldown,seed,net_value,retrainings,oracle_value_per_customer,cate_recovery_step,treatment_recovery_step,blocked_retrainings
5,0,1,-24834.975848547867,17,-1.0292487924273936,14,16.0,0
5,0,2,-8751.27683112788,9,-0.3250638415563937,17,19.0,0
5,0,3,-11636.268733755114,11,-0.4443134366877544,20,22.0,0
5,0,4,-22528.2351641268,19,-0.88891175820634,14,19.0,0
5,0,5,-14849.790567846278,7,-0.654989528392313,18,20.0,0
5,0,6,-33053.101211543384,13,-1.4901550605771694,18,19.0,0
5,0,7,-3315.7732710432274,6,-0.0907886635521612,19,21.0,0
5,0,8,-3747.851361923687,14,-0.01239256809618345,15,17.0,0
5,0,9,-17968.551774472795,14,-0.7234275887236405,17,19.0,0
5,0,10,-12585.48797838428,16,-0.4292743989192141,16,17.0,0
5,0,11,3191.9148547599657,15,0.34709574273799876,15,19.0,0
5,0,12,-22068.742560649825,14,-0.9284371280324919,17,23.0,0
5,0,13,-2315.336248017409,10,0.009233187599128919,18,19.0,0
5,0,14,-41530.52605441738,9,-1.9640263027208689,24,24.0,0
5,0,15,-15588.701419665644,12,-0.6294350709832821,17,19.0,0
5,0,16,-9091.495571974247,13,-0.2920747785987118,16,17.0,0
5,0,17,-4658.578288533155,13,-0.07042891442665802,18,19.0,0
5,0,18,-34997.06420099136,15,-1.562353210049568,15,16.0,0
5,0,19,2805.8946629968523,14,0.31529473314984274,14,18.0,0
5,0,20,-148.96240639238658,11,0.13005187968038132,15,19.0,0
5,0,21,-17906.278479913366,14,-0.7203139239956684,16,23.0,0
5,0,22,-5323.464750241995,15,-0.07867323751209863,17,19.0,0
5,0,23,-5099.140140685946,14,-0.07995700703429648,17,19.0,0
5,0,24,-48573.305747191334,17,-2.216165287359567,19,25.0,0
5,0,25,6990.684947883044,14,0.5245342473941512,16,18.0,0
5,0,26,7743.323170324763,13,0.5496661585162385,16,19.0,0
5,0,27,6467.69582952489,11,0.46088479147624484,17,19.0,0
5,0,28,-21881.971543687898,10,-0.9690985771843955,17,23.0,0
5,0,29,-14064.877694782595,14,-0.5282438847391299,18,19.0,0
5,0,30,-24784.4634601743,15,-1.0517231730087153,17,23.0,0
5,2,1,-34041.68916574869,6,-1.6270844582874344,15,,12
5,2,2,-17669.80602364135,4,-0.833490301182067,17,20.0,6
5,2,3,-11716.338695072034,4,-0.5358169347536004,20,23.0,6
5,2,4,-11990.753263590048,7,-0.5120376631795027,16,19.0,13
5,2,5,-23571.283380033827,5,-1.1160641690016904,20,20.0,7
5,2,6,-41858.99989918297,5,-2.0304499949591484,18,27.0,8
5,2,7,-12468.067700177244,3,-0.5859033850088622,19,23.0,5
5,2,8,-14352.442546781742,6,-0.6426221273390865,16,19.0,12
5,2,9,-23160.374816539676,5,-1.0955187408269846,17,29.0,8
5,2,10,-20446.221584202838,6,-0.947311079210142,16,19.0,10
5,2,11,4192.737303611473,6,0.28463686518057435,16,19.0,6
5,2,12,-17777.502688556633,6,-0.8138751344278319,18,24.0,10
5,2,13,-8791.864313004164,3,-0.40209321565020895,18,22.0,5
5,2,14,-24731.368950589505,3,-1.1990684475294744,19,20.0,6
5,2,15,-23546.46546292842,4,-1.1273232731464211,17,22.0,7
5,2,16,-20003.671114349036,5,-0.9376835557174513,18,18.0,8
5,2,17,-3056.29291899082,5,-0.09031464594954083,18,21.0,8
5,2,18,23514.87867679806,3,1.213243933839903,16,16.0,6
5,2,19,4114.553577872179,5,0.2682276788936093,14,18.0,6
5,2,20,-6996.413810835969,6,-0.27482069054179786,15,21.0,10
5,2,21,-28048.89196769992,5,-1.339944598384996,18,25.0,9
5,2,22,-6015.131837517989,5,-0.23825659187589857,19,19.0,10
5,2,23,-6592.032229822624,5,-0.2671016114911305,19,19.0,9
5,2,24,-47015.46746538427,6,-2.2757733732692134,19,25.0,12
5,2,25,9025.530035077161,5,0.5137765017538579,16,19.0,7
5,2,26,11081.090133355563,5,0.616554506667778,16,19.0,8
5,2,27,-7305.034621801047,6,-0.29025173109005187,18,21.0,10
5,2,28,-26463.768615151675,3,-1.2856884307575842,17,23.0,4
5,2,29,-14883.385611131736,5,-0.6816692805565872,20,20.0,7
5,2,30,-27689.055300881995,5,-1.3219527650441003,19,23.0,10
5,4,1,-44893.605514134106,4,-2.1946802757067054,17,,13
5,4,2,-18982.73292043987,3,-0.911636646021993,17,23.0,8
5,4,3,-13679.373808062193,3,-0.6464686904031085,20,25.0,8
5,4,4,-26758.4758684694,5,-1.27542379342347,15,25.0,15
5,4,5,-38135.71196420213,2,-1.8817855982101057,20,22.0,5
5,4,6,-57236.74977956572,3,-2.8243374889782853,18,,10
5,4,7,-19662.729993484445,2,-0.9581364996742221,19,24.0,5
5,4,8,-27646.90250930499,4,-1.3323451254652485,18,28.0,13
5,4,9,-26973.712720613745,3,-1.3111856360306877,17,28.0,5
5,4,10,-5002.0233100777605,4,-0.20010116550388823,18,18.0,12
5,4,11,-13110.703093166994,3,-0.6180351546583492,18,23.0,11
5,4,12,-28785.28572869586,3,-1.4017642864347932,21,26.0,12
5,4,13,-9808.542769702408,3,-0.45292713848512123,18,23.0,5
5,4,14,-24731.368950589505,3,-1.1990684475294744,19,20.0,6
5,4,15,-35515.79766481822,3,-1.7382898832409115,17,22.0,11
5,4,16,-21410.832772622125,4,-1.020541638631106,20,20.0,12
5,4,17,-10027.7426311535,3,-0.46388713155767497,18,23.0,10
5,4,18,-45308.96838959643,4,-2.2154484194798214,18,18.0,11
5,4,19,1470.740200853872,3,0.11103701004269395,14,18.0,8
5,4,20,-12928.173629482131,4,-0.5964086814741062,15,20.0,12
5,4,21,-34978.2310450212,4,-1.6989115522510605,20,25.0,11
5,4,22,-22715.80427887807,3,-1.0982902139439026,21,21.0,12
5,4,23,-18090.989151055073,3,-0.8670494575527531,21,21.0,10
5,4,24,-49974.21332112335,5,-2.436210666056167,20,25.0,16
5,4,25,-4859.515854827559,3,-0.20547579274137853,16,23.0,8
5,4,26,-6833.832148420191,3,-0.3041916074210097,16,21.0,12
5,4,27,1377.3274290484665,3,0.10636637145242371,20,20.0,8
5,4,28,-41396.12859534035,3,-2.032306429767018,17,27.0,9
5,4,29,-17943.055744319674,2,-0.872152787215984,22,22.0,8
5,4,30,-40648.3430358597,3,-1.994917151792986,21,,11
10,0,1,-18931.81771379021,12,-0.7965908856895095,15,23.0,0
10,0,2,-3914.719382382851,10,-0.07073596911914258,17,20.0,0
10,0,3,-15952.92656359126,11,-0.6601463281795616,20,23.0,0
10,0,4,-7350.8862556990425,12,-0.21754431278495226,15,23.0,0
10,0,5,-32754.508103920005,13,-1.4752254051959997,20,23.0,0
10,0,6,-47467.97381556495,9,-2.2608986907782476,21,25.0,0
10,0,7,-16589.92708625843,9,-0.7169963543129214,21,24.0,0
10,0,8,418.13787241450154,18,0.2459068936207246,17,17.0,0
10,0,9,-31662.487010381956,13,-1.4206243505190983,19,27.0,0
10,0,10,6028.361527446845,13,0.46391807637234195,17,19.0,0
10,0,11,-9041.271757829534,12,-0.3020635878914771,16,20.0,0
10,0,12,-32988.307352964606,11,-1.5119153676482306,19,24.0,0
10,0,13,-24470.668592907536,8,-1.1235334296453772,19,23.0,0
10,0,14,-40556.59065514388,9,-1.9153295327571942,24,24.0,0
10,0,15,-23170.970990898146,12,-1.0085485495449076,18,25.0,0
10,0,16,-15734.483400358877,16,-0.5867241700179437,17,22.0,0
10,0,17,-8159.603085643663,10,-0.28298015428218337,18,22.0,0
10,0,18,-9030.842335538595,13,-0.28904211677692976,16,19.0,0
10,0,19,67.10523072489923,14,0.178355261536244,18,21.0,0
10,0,20,-2054.033765605181,14,0.0722983117197409,18,21.0,0
10,0,21,-33857.08106667998,14,-1.5178540533339993,19,23.0,0
10,0,22,-19935.501321611373,15,-0.809275066080568,20,23.0,0
10,0,23,-11161.911597181414,11,-0.42059557985907,19,22.0,0
10,0,24,-32491.504928576593,16,-1.4245752464288293,19,23.0,0
10,0,25,-7930.62574148179,13,-0.23403128707408946,17,23.0,0
10,0,26,-1277.7243962954867,14,0.11111378018522583,18,21.0,0
10,0,27,-10237.599073265237,15,-0.3243799536632618,18,21.0,0
