step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.037125,0.22073083810196667,0.011460557798651237,,9285.831314625495,11.607289143281868,0.08517850071037276,0.1170600272134622,0.25,0.28125,0.10375,False,False,9285.831314625495,9285.831314625495
6,treatment,policy_value,profit,0.04040625,0.21226683572861943,0.015821964263811425,,9303.131174345119,11.628913967931398,0.08264561865960923,0.11294872655992251,0.25,0.26875,0.09875,False,False,9303.131174345119,18588.962488970614
7,treatment,policy_value,profit,0.03965625,0.2067790463015907,0.027679953720945713,,8592.888478226268,10.741110597782836,0.07411562562070692,0.10369799456454856,0.25,0.27875,0.11375,False,False,8592.888478226268,27181.850967196882
8,treatment,policy_value,profit,0.0325,0.21495943660828837,0.05026808317958747,,9041.62135542923,11.302026694286537,0.08164176066398884,0.11391456925427043,0.25,0.28625,0.10875,False,False,9041.62135542923,36223.47232262611
9,treatment,policy_value,profit,0.032375,0.2197396105974708,0.1245816403435381,13.677664964859481,9449.587627838118,11.811984534797649,0.0861453076644284,0.11979131457173235,0.25,0.27625,0.11,False,False,9449.587627838118,45673.05995046423
10,treatment,policy_value,profit,0.028374999999999997,0.2308542943322324,0.12311121381571553,20.7302198817039,9267.051262093697,11.583814077617122,0.08549375894130679,0.11633682626712137,0.25,0.27625,0.10375,False,False,9267.051262093697,54940.111212557924
11,treatment,policy_value,profit,0.03575,0.2075897385528279,0.12990773333041306,26.962792653346213,8208.064574068125,10.260080717585156,0.07544507868188102,0.10507806719953035,0.25,0.285,0.09875,False,False,8208.064574068125,63148.175786626045
12,treatment,policy_value,profit,0.030875,0.20460777583458933,0.12324776840414049,21.43653450795009,9609.646411622613,12.012058014528266,0.08493268460511244,0.11832165730220894,0.25,0.2825,0.10625,False,False,9609.646411622613,72757.82219824866
13,treatment,policy_value,profit,0.031,0.21330146995034072,0.09731699493943156,21.41990847154584,9186.78101481279,11.483476268515988,0.07955746842878164,0.11104934297537322,0.25,0.2875,0.11625,False,False,9186.78101481279,81944.60321306145
14,treatment,policy_value,profit,0.0380625,0.2262277802245534,0.15067673786551466,12.131604099677077,-8852.096685140645,-11.065120856425805,-0.14292832384659507,0.11436054368674249,0.25,0.26625,0.1025,False,False,-8852.096685140645,73092.5065279208
15,treatment,policy_value,profit,0.032375,0.22667153695287545,0.19026719932075212,4.522678944840544,-9198.102339731486,-11.497627924664357,-0.14480862036962555,0.10948872894079473,0.25,0.2775,0.1,False,False,-9198.102339731486,63894.40418818932
16,treatment,policy_value,profit,0.02903125,0.22316956181638103,0.22143035815861356,-9.476422038974581,-8477.966379121002,-10.597457973901253,-0.14234996639905645,0.1098915287303307,0.25,0.265,0.09625,True,False,-8727.966379121002,55166.43780906832
17,treatment,policy_value,profit,0.043492955635491604,0.208618533537268,0.07945328152955923,-18.895261488037086,-7613.839239359011,-9.517299049198764,-0.14512961782650569,-0.08244242829140237,0.2075,0.24,0.1075,True,False,-7863.839239359011,47302.598569709306
18,treatment,policy_value,profit,0.05841133373205742,0.20514045609284207,0.14006535278004004,-25.593610989710513,-5137.238661465155,-6.421548326831444,-0.14541356388311427,-0.09443941784422537,0.11375,0.145,0.1,True,False,-5387.238661465155,41915.35990824415
19,treatment,policy_value,profit,0.053329475308641974,0.2090391924255875,0.058689135022971524,-21.602575403230656,-2945.119412288439,-3.6813992653605485,-0.14303713479954192,-0.21717051473459698,0.03125,0.0775,0.10625,True,False,-3195.119412288439,38720.24049595571
20,treatment,policy_value,profit,0.05200061274509804,0.21424776902905124,0.0797043284070482,-16.015125796446995,-2581.269481776594,-3.2265868522207426,-0.14430326198576465,-0.2428260847861098,0.025,0.07125,0.11,True,False,-2831.269481776594,35888.971014179115
21,treatment,policy_value,profit,0.04256009615384615,0.21836620753784544,0.07918018032179948,-12.544708088981642,-3861.692403251846,-4.827115504064808,-0.1450725162713206,-0.22126762296438865,0.0825,0.12,0.0975,True,False,-4111.6924032518455,31777.27861092727
22,treatment,policy_value,profit,0.05358288369304556,0.20186054390427813,0.05996084915893229,-4.39843281451412,-4839.095007292481,-6.048868759115601,-0.14331724330689646,-0.17671298559460147,0.1175,0.15125,0.08375,True,False,-5089.095007292481,26688.18360363479
23,treatment,policy_value,profit,0.05048445351758794,0.21076573131634824,0.06508739879895534,-0.2246055158693374,-6280.292391257208,-7.8503654890715096,-0.14543936857091427,-0.16349343833971328,0.16,0.19875,0.09875,True,False,-6530.292391257208,20157.89121237758
24,treatment,policy_value,profit,0.0540959540302267,0.2211823956140181,0.051286177572069366,-0.7825639145474679,-5478.270078401879,-6.847837598002348,-0.14018744279809142,-0.1319760598847055,0.1475,0.18625,0.1075,True,False,-5728.270078401879,14429.621133975703
25,treatment,policy_value,profit,0.05280543341708543,0.21442513785614975,0.08991781410280343,3.977515501243193,-4719.87814826857,-5.899847685335712,-0.14346899443415567,-0.1489290217084905,0.125,0.1625,0.0975,False,False,-4719.87814826857,9709.742985707133
26,treatment,policy_value,profit,0.05014525753768844,0.22402149961384407,0.06900360599179887,7.090605763844412,-4335.6740564192705,-5.419592570524088,-0.14299603447200357,-0.14516995625315932,0.1075,0.14125,0.10125,False,False,-4335.6740564192705,5374.068929287862
27,treatment,policy_value,profit,0.05437342964824121,0.2103433492667853,0.08969054564767696,3.500798029135845,-4460.717544706511,-5.575896930883139,-0.14408913047736882,-0.1551037921243238,0.1225,0.16,0.11,False,False,-4460.717544706511,913.3513845813513
28,treatment,policy_value,profit,0.056989635678391964,0.21988772426416503,0.07747207707466353,3.919475253468666,-4563.446966892194,-5.704308708615242,-0.14428426021743007,-0.15118302222844743,0.10875,0.15375,0.0875,False,False,-4563.446966892194,-3650.0955823108425
29,treatment,policy_value,profit,0.055894315326633165,0.22043630040692114,0.09879090829491191,8.210831562173018,-5101.181248817037,-6.376476561021296,-0.14302458452574004,-0.14700107430271137,0.12875,0.1725,0.09625,False,False,-5101.181248817037,-8751.27683112788
