drift_type,trigger,policy,seed,steps_evaluated,retrainings,final_cumulative_net_value,mean_oracle_value_per_customer,mean_feature_drift,mean_brier,mean_cate_shift
none,never,profit,1,25,0,211404.31505519414,10.570215752759704,0.03223625,0.2477714885783432,0.10791268734384453
none,periodic,profit,1,25,5,212839.8058834138,10.704490294170691,0.03240357386083964,0.2465795031025552,0.10319345665279343
none,feature_drift,profit,1,25,0,211404.31505519414,10.570215752759704,0.03223625,0.2477714885783432,0.10791268734384453
none,performance,profit,1,25,0,211404.31505519414,10.570215752759704,0.03223625,0.2477714885783432,0.10791268734384453
none,cate_shift,profit,1,25,20,208948.28109603058,10.697414054801529,0.032186175817340935,0.24656271199274657,0.10075802309401376
none,policy_value,profit,1,25,6,212986.296743021,10.72431483715105,0.0323306032118402,0.24654613172672157,0.10347053823720044
covariate,never,profit,1,25,0,301867.44186794705,15.093372093397356,0.14011375,0.26743684443365107,0.09847648740909959
covariate,periodic,profit,1,25,5,305793.38829098816,15.35216941454941,0.13119953380474306,0.2606776428226582,0.09250702353287485
covariate,feature_drift,profit,1,25,9,304234.23463374143,15.324211731687067,0.12956424412635162,0.2598374653976309,0.09312848917664102
covariate,performance,profit,1,25,10,305175.59621597466,15.383779810798728,0.12883359678058315,0.25917954517138875,0.09195314607343617
covariate,cate_shift,profit,1,25,15,304178.4162226493,15.396420811132469,0.12906704476870828,0.2586295501403782,0.08985644123974999
covariate,policy_value,profit,1,25,4,304806.43194157304,15.29032159707865,0.13407211823154044,0.2613530963210198,0.09385285318571202
outcome,never,profit,1,25,0,148929.11011249025,7.4464555056245105,0.03223625,0.2626883437298855,0.12208870899477704
outcome,periodic,profit,1,25,5,147546.5011541276,7.439825057706377,0.03240357386083964,0.2602946038772594,0.11853188671675871
outcome,feature_drift,profit,1,25,0,148929.11011249025,7.4464555056245105,0.03223625,0.2626883437298855,0.12208870899477704
outcome,performance,profit,1,25,15,144428.48237515747,7.408924118757874,0.03215906122253423,0.2605488819484506,0.11881573654661647
outcome,cate_shift,profit,1,25,20,143336.47965166072,7.416823982583033,0.032164606766432756,0.2603350756123669,0.11659896077527034
outcome,policy_value,profit,1,25,7,146921.82345151293,7.433591172575645,0.03233199378039994,0.2605174850135074,0.11811786207553839
treatment,never,profit,1,25,0,-58759.701958052996,-2.937985097902649,0.03223625,0.2615364480291739,0.11123867063468616
treatment,periodic,profit,1,25,5,-60082.75232135282,-2.9416376160676414,0.03240357386083964,0.25970899224757515,0.10845561311460283
treatment,feature_drift,profit,1,25,0,-58759.701958052996,-2.937985097902649,0.03223625,0.2615364480291739,0.11123867063468616
treatment,performance,profit,1,25,13,-62341.51008933194,-2.954575504466596,0.03218941687922164,0.2599527405959306,0.10884294454878848
treatment,cate_shift,profit,1,25,19,-63573.90764712079,-2.9411953823560397,0.032152959331444325,0.2597734245622033,0.1065581626518135
treatment,policy_value,profit,1,25,11,-61599.44175326107,-2.9424720876630532,0.032256670521226646,0.25964646674880415,0.10760178361216828
gradual_treatment,never,profit,1,25,0,-3390.792035971619,-0.1695396017985803,0.03223625,0.25897931607244734,0.1070486600347807
gradual_treatment,periodic,profit,1,25,5,-4786.807383656769,-0.17684036918283774,0.03240357386083964,0.25715377278512497,0.10475324936504624
gradual_treatment,feature_drift,profit,1,25,0,-3390.792035971619,-0.1695396017985803,0.03223625,0.25897931607244734,0.1070486600347807
gradual_treatment,performance,profit,1,25,10,-6555.280930910942,-0.2027640465455469,0.0321151270445699,0.25748202467804965,0.10547209246358152
gradual_treatment,cate_shift,profit,1,25,18,-8039.8140391458855,-0.17699070195729413,0.03216941363034688,0.2572055017339832,0.10259529021336594
gradual_treatment,policy_value,profit,1,25,7,-5227.99830250089,-0.17389991512504543,0.0323043457594961,0.25741183257491057,0.10431748870076821
none,never,profit,2,25,0,224268.34522473215,11.213417261236607,0.033561249999999994,0.24647070465428197,0.0834719845344353
none,periodic,profit,2,25,5,224313.8226479862,11.278191132399309,0.03298011691496201,0.24561502730947,0.07978143759110073
none,feature_drift,profit,2,25,0,224268.34522473215,11.213417261236607,0.033561249999999994,0.24647070465428197,0.0834719845344353
none,performance,profit,2,25,0,224268.34522473215,11.213417261236607,0.033561249999999994,0.24647070465428197,0.0834719845344353
none,cate_shift,profit,2,25,11,223355.50923812593,11.305275461906298,0.03306397678417488,0.24544286961906336,0.07832689650320758
none,policy_value,profit,2,25,0,224268.34522473215,11.213417261236607,0.033561249999999994,0.24647070465428197,0.0834719845344353
