drift_type,trigger,policy,seed,steps_evaluated,retrainings,final_cumulative_net_value,mean_oracle_value_per_customer,mean_feature_drift,mean_brier,mean_cate_shift
none,never,profit,7,25,0,226946.89422183295,11.347344711091647,0.03396125,0.24366123061518816,0.0964358656235501
none,periodic,profit,7,25,5,223906.5307921516,11.257826539607581,0.03340671413905093,0.2441795671673209,0.09361487404251934
none,feature_drift,profit,7,25,0,226946.89422183295,11.347344711091647,0.03396125,0.24366123061518816,0.0964358656235501
none,performance,profit,7,25,0,226946.89422183295,11.347344711091647,0.03396125,0.24366123061518816,0.0964358656235501
none,cate_shift,profit,7,25,16,220977.10881756482,11.24885544087824,0.03331286802435476,0.24410793728560207,0.09114637263641524
none,policy_value,profit,7,25,0,226946.89422183295,11.347344711091647,0.03396125,0.24366123061518816,0.0964358656235501
covariate,never,profit,7,25,0,317836.42258559744,15.891821129279874,0.13829875,0.2515630397578934,0.10882535170327783
covariate,periodic,profit,7,25,5,316810.1992150847,15.903009960754236,0.12865654079593347,0.2517159020580161,0.10710660573652703
covariate,feature_drift,profit,7,25,8,315343.85015671223,15.867192507835615,0.12711166156046508,0.2509684368811113,0.10768866070121802
covariate,performance,profit,7,25,4,316647.36338397546,15.882368169198772,0.12929425246772094,0.25125595713866306,0.10774868741243482
covariate,cate_shift,profit,7,25,19,313005.5694035874,15.887778470179367,0.12584935458372756,0.2511643999238889,0.10418212287259278
covariate,policy_value,profit,7,25,0,317836.42258559744,15.891821129279874,0.13829875,0.2515630397578934,0.10882535170327783
outcome,never,profit,7,25,0,162722.15693478257,8.13610784673913,0.03396125,0.2538142106634641,0.14315554067180492
outcome,periodic,profit,7,25,5,158721.83791569952,7.998591895784975,0.03340671413905093,0.2547440856547302,0.13708308153286405
outcome,feature_drift,profit,7,25,0,162722.15693478257,8.13610784673913,0.03396125,0.2538142106634641,0.14315554067180492
outcome,performance,profit,7,25,9,158294.98107782681,8.027249053891342,0.033507974870868734,0.2543597047660077,0.13951225126729955
outcome,cate_shift,profit,7,25,21,154300.5578723364,7.97752789361682,0.03331790602379084,0.25481017564029446,0.13512550498716266
outcome,policy_value,profit,7,25,0,162722.15693478257,8.13610784673913,0.03396125,0.2538142106634641,0.14315554067180492
treatment,never,profit,7,25,0,-60725.3133046619,-3.0362656652330946,0.03396125,0.25445375904321776,0.10941950974926856
treatment,periodic,profit,7,25,5,-56173.866277107874,-2.7461933138553927,0.03340671413905093,0.25369396790220455,0.10471548668244432
treatment,feature_drift,profit,7,25,0,-60725.3133046619,-3.0362656652330946,0.03396125,0.25445375904321776,0.10941950974926856
treatment,performance,profit,7,25,6,-56274.05661394192,-2.738702830697096,0.033381295409487505,0.2535235541069211,0.10578103817772208
treatment,cate_shift,profit,7,25,20,-59843.14062998266,-2.7421570314991333,0.03332593744960432,0.25370094410757593,0.10235917152478541
treatment,policy_value,profit,7,25,9,-58601.99612488855,-2.817599806244427,0.033656940729002036,0.2536454773094743,0.10735233536308302
gradual_treatment,never,profit,7,25,0,-2443.089788029658,-0.12215448940148235,0.03396125,0.25249314570663306,0.11185593746292152
gradual_treatment,periodic,profit,7,25,5,-168.18080313249447,0.05409095984337597,0.03340671413905093,0.25217202146603396,0.1071826958652112
gradual_treatment,feature_drift,profit,7,25,0,-2443.089788029658,-0.12215448940148235,0.03396125,0.25249314570663306,0.11185593746292152
gradual_treatment,performance,profit,7,25,4,-525.1380471609646,0.023743097641952673,0.033687019219122316,0.25204488837583316,0.10966724132040755
gradual_treatment,cate_shift,profit,7,25,21,-4255.39782093328,0.04973010895333488,0.03331790602379084,0.25214566499650215,0.10462773946813049
gradual_treatment,policy_value,profit,7,25,7,-691.5033929512592,0.05292483035243805,0.033638557763623476,0.25198978189988624,0.10945099625330147
