step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.038500000000000006,0.21239537631716718,0.014937874230374133,,8048.919655812999,10.061149569766249,0.07632318175314007,0.08536545821577861,0.25,0.27375,0.11375,False,8048.919655812999,8048.919655812999
6,treatment,policy_value,profit,0.031468750000000004,0.21213165728606231,0.03293500637328177,,8681.427236103507,10.851784045129385,0.0804358777203219,0.09028646394965445,0.25,0.275,0.1025,False,8681.427236103507,16730.346891916506
7,treatment,policy_value,profit,0.033468750000000005,0.20343320223201858,0.038459587538570844,,9602.378274571918,12.002972843214899,0.08506570307041848,0.09492383932559997,0.25,0.2875,0.10625,False,9602.378274571918,26332.725166488424
8,treatment,policy_value,profit,0.03021875,0.21813892676283544,0.047964592564599916,,8854.165859410656,11.067707324263319,0.07891460388514891,0.0871141370981425,0.25,0.28375,0.11,False,8854.165859410656,35186.89102589908
9,treatment,policy_value,profit,0.03228125,0.19793749060086166,0.09525126145986684,12.124974687468846,9090.748833808753,11.363436042260942,0.08257596861666666,0.09244250151255821,0.25,0.2675,0.105,False,9090.748833808753,44277.63985970784
10,treatment,policy_value,profit,0.04075,0.2130644061300332,0.07522983334004306,14.900909411274808,8807.999653939398,11.009999567424247,0.07880854384914399,0.08625234343553143,0.25,0.27625,0.09875,False,8807.999653939398,53085.639513647235
11,treatment,policy_value,profit,0.032906250000000005,0.20655508372505288,0.11171387855135327,16.99929978032195,9169.678056290064,11.46209757036258,0.08292466378470632,0.09220119696536805,0.25,0.2775,0.115,False,9169.678056290064,62255.317569937295
12,treatment,policy_value,profit,0.032718750000000005,0.20859544777340866,0.10928998235060536,14.792438047242388,9082.376249652261,11.352970312065327,0.07943099655126892,0.08979063247901113,0.25,0.28875,0.09875,False,9082.376249652261,71337.69381958956
13,treatment,policy_value,profit,0.0335625,0.21108378583839318,0.08180124096627961,2.9355676563916764,8527.460401544386,10.659325501930482,0.08004094822083076,0.08859561799623139,0.25,0.26625,0.1075,False,8527.460401544386,79865.15422113395
14,treatment,policy_value,profit,0.04215625,0.22101072016244858,0.09317147814229738,-0.1566566011832784,-9617.972567950545,-12.022465709938182,-0.14675015083583964,0.0833436101996395,0.25,0.29,0.09,True,-9867.972567950545,69997.1816531834
