strategy,seed,net_value,oracle_value_per_customer,retrainings,cate_recovery_step,treatment_recovery_step
full_history,1,-60825.61932160904,-2.878780966080453,13,,
full_history,10,-71178.77975712522,-3.333938987856261,18,,
full_history,11,-70835.39901943183,-3.316769950971592,18,,
full_history,12,-67352.02876369885,-3.1676014381849438,16,,
full_history,13,-60856.14260377897,-2.905307130188949,11,,
full_history,14,-61983.24254123701,-2.974162127061851,10,,
full_history,15,-76061.31549408003,-3.6280657747040017,14,,
full_history,16,-60369.72306892255,-2.8184861534461265,16,,
full_history,17,-68295.06446369278,-3.2522532231846384,13,,
full_history,18,-66651.19448705773,-3.1075597243528863,18,,
full_history,19,-64569.46979113999,-3.0409734895570004,15,,
full_history,2,-66669.57688907624,-3.2209788444538123,9,,
full_history,20,-68863.34467470585,-3.268167233735292,14,,
full_history,21,-81222.99006263335,-3.886149503131668,14,,
full_history,22,-74206.98610353297,-3.522849305176648,15,,
full_history,23,-70293.51810904777,-3.327175905452388,15,,
full_history,24,-80751.53224304313,-3.8250766121521558,17,,
full_history,25,-61075.979189209174,-2.866298959460459,15,,
full_history,26,-64974.9976335667,-3.061249881678336,15,,
full_history,27,-74216.5598009064,-3.51082799004532,16,,
full_history,28,-73808.12420226472,-3.5529062101132367,11,,
full_history,29,-74459.98190687975,-3.5479990953439877,14,,
full_history,3,-60292.75451152777,-2.8771377255763873,11,,
full_history,30,-80803.3673162852,-3.902668365814259,11,,
full_history,4,-63043.110401858925,-2.9396555200929457,17,,
full_history,5,-80746.01096754184,-3.8873005483770906,12,,
full_history,6,-75688.24204727738,-3.621912102363869,13,,
full_history,7,-61059.76708668806,-2.965488354334403,7,,
full_history,8,-60999.464262767164,-2.8624732131383586,15,,
full_history,9,-62587.16646456133,-2.9793583232280674,12,,
window_5,1,-24834.975848547867,-1.0292487924273936,17,14.0,16.0
window_5,10,-12585.48797838428,-0.4292743989192141,16,16.0,17.0
window_5,11,3191.9148547599657,0.34709574273799876,15,15.0,19.0
window_5,12,-22068.742560649825,-0.9284371280324919,14,17.0,23.0
window_5,13,-2315.336248017409,0.009233187599128919,10,18.0,19.0
window_5,14,-41530.52605441738,-1.9640263027208689,9,24.0,24.0
window_5,15,-15588.701419665644,-0.6294350709832821,12,17.0,19.0
window_5,16,-9091.495571974247,-0.2920747785987118,13,16.0,17.0
window_5,17,-4658.578288533155,-0.07042891442665802,13,18.0,19.0
window_5,18,-34997.06420099136,-1.562353210049568,15,15.0,16.0
window_5,19,2805.8946629968523,0.31529473314984274,14,14.0,18.0
window_5,2,-8751.27683112788,-0.3250638415563937,9,17.0,19.0
window_5,20,-148.96240639238658,0.13005187968038132,11,15.0,19.0
window_5,21,-17906.278479913366,-0.7203139239956684,14,16.0,23.0
window_5,22,-5323.464750241995,-0.07867323751209863,15,17.0,19.0
window_5,23,-5099.140140685946,-0.07995700703429648,14,17.0,19.0
window_5,24,-48573.305747191334,-2.216165287359567,17,19.0,25.0
window_5,25,6990.684947883044,0.5245342473941512,14,16.0,18.0
window_5,26,7743.323170324763,0.5496661585162385,13,16.0,19.0
window_5,27,6467.69582952489,0.46088479147624484,11,17.0,19.0
window_5,28,-21881.971543687898,-0.9690985771843955,10,17.0,23.0
window_5,29,-14064.877694782595,-0.5282438847391299,14,18.0,19.0
window_5,3,-11636.268733755114,-0.4443134366877544,11,20.0,22.0
window_5,30,-24784.4634601743,-1.0517231730087153,15,17.0,23.0
window_5,4,-22528.2351641268,-0.88891175820634,19,14.0,19.0
window_5,5,-14849.790567846278,-0.654989528392313,7,18.0,20.0
window_5,6,-33053.101211543384,-1.4901550605771694,13,18.0,19.0
window_5,7,-3315.7732710432274,-0.0907886635521612,6,19.0,21.0
window_5,8,-3747.851361923687,-0.01239256809618345,14,15.0,17.0
window_5,9,-17968.551774472795,-0.7234275887236405,14,17.0,19.0
window_10,1,-18931.81771379021,-0.7965908856895095,12,15.0,23.0
window_10,10,6028.361527446845,0.46391807637234195,13,17.0,19.0
window_10,11,-9041.271757829534,-0.3020635878914771,12,16.0,20.0
window_10,12,-32988.307352964606,-1.5119153676482306,11,19.0,24.0
window_10,13,-24470.668592907536,-1.1235334296453772,8,19.0,23.0
window_10,14,-40556.59065514388,-1.9153295327571942,9,24.0,24.0
window_10,15,-23170.970990898146,-1.0085485495449076,12,18.0,25.0
window_10,16,-15734.483400358877,-0.5867241700179437,16,17.0,22.0
window_10,17,-8159.603085643663,-0.28298015428218337,10,18.0,22.0
window_10,18,-9030.842335538595,-0.28904211677692976,13,16.0,19.0
window_10,19,67.10523072489923,0.178355261536244,14,18.0,21.0
window_10,2,-3914.719382382851,-0.07073596911914258,10,17.0,20.0
window_10,20,-2054.033765605181,0.0722983117197409,14,18.0,21.0
window_10,21,-33857.08106667998,-1.5178540533339993,14,19.0,23.0
