step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.0360625,0.21197195658615414,0.029769906132625274,,9204.401471327707,11.505501839159633,0.0829714967580985,0.05326925298003994,0.25,0.275,0.0925,False,9204.401471327707,9204.401471327707
6,treatment,policy_value,profit,0.0355,0.2135388934949711,0.029295592445430865,,9107.433520073559,11.384291900091949,0.08237376971928971,0.05204230091733935,0.25,0.2825,0.1075,False,9107.433520073559,18311.834991401265
7,treatment,policy_value,profit,0.029375,0.21431028101269015,0.03850490692283571,,8621.945668193526,10.777432085241907,0.07715635652615604,0.04707859175754436,0.25,0.275,0.11,False,8621.945668193526,26933.78065959479
8,treatment,policy_value,profit,0.0373125,0.2122280670502857,0.05990907311463098,,8950.181818219484,11.187727272774355,0.0792658167834883,0.049324827879498837,0.25,0.26625,0.07875,False,8950.181818219484,35883.962477814275
9,treatment,policy_value,profit,0.03790625,0.21324580060899326,0.12153928737385007,26.7005771882811,9021.444507540215,11.276805634425267,0.0839238005259486,0.054497244661623846,0.25,0.2625,0.09,False,9021.444507540215,44905.40698535449
10,treatment,policy_value,profit,0.026625,0.21334214803034823,0.08711711344194974,27.960669429650416,9543.418645119014,11.929273306398768,0.08261821437398917,0.052288336035470326,0.25,0.27375,0.09625,False,9543.418645119014,54448.82563047351
11,treatment,policy_value,profit,0.03240625,0.20548160527343984,0.07184989084184026,20.448562286771022,9531.407857056682,11.914259821320853,0.082649233917934,0.053653928463619056,0.25,0.27625,0.09,False,9531.407857056682,63980.23348753019
12,treatment,policy_value,profit,0.03290625,0.2163144891651848,0.05899178727043892,21.67407881111119,9579.568599537713,11.974460749422143,0.0841268738643932,0.05502212383852804,0.25,0.26875,0.07125,False,9579.568599537713,73559.8020870679
13,treatment,policy_value,profit,0.032875,0.21498026083152957,0.0960731321773944,9.25398482963503,9062.285896543197,11.327857370678997,0.0802921611450185,0.052062347445121754,0.25,0.26625,0.08375,False,9062.285896543197,82622.0879836111
14,treatment,policy_value,profit,0.0295,0.21106142309047385,0.13532074099802305,-3.5282016696723733,-9295.146744072184,-11.61893343009023,-0.142755804903756,0.05349717135883026,0.25,0.285,0.10875,True,-9545.146744072184,73076.94123953891
15,treatment,policy_value,profit,0.05939236111111111,0.2214094463802681,0.11641189293608516,-8.178514926718142,-10396.70157341034,-12.995876966762927,-0.14559988510822605,0.012724663102983503,0.25,0.265,0.1,True,-10646.70157341034,62430.23966612857
16,treatment,policy_value,profit,0.056391615013774106,0.2145774594628081,0.06220958458820566,-9.300696872067595,-5346.126653200825,-6.682658316501031,-0.14321105157338773,-0.10069244609003661,0.115,0.15375,0.09875,True,-5596.126653200825,56834.113012927744
17,treatment,policy_value,profit,0.04778293918918919,0.20182226380206206,0.06392899292978908,-9.375544777496813,-3503.5047462775087,-4.379380932846886,-0.14247024333289185,-0.12927667218558705,0.07,0.10875,0.09,True,-3753.5047462775087,53080.60826665023
18,treatment,policy_value,profit,0.050018262987012986,0.20897832894385285,0.07496865387432314,-5.650807302217124,-4525.973989189995,-5.657467486487494,-0.1421961595315857,-0.16161989193084356,0.0925,0.13625,0.11125,True,-4775.973989189995,48304.63427746024
19,treatment,policy_value,profit,0.04905251842751843,0.21253591219231477,0.0663912473267156,-3.5680931794106248,-4130.242735809419,-5.162803419761774,-0.1413663387427,-0.1582524468482183,0.06375,0.115,0.09625,True,-4380.242735809419,43924.39154165082
20,treatment,policy_value,profit,0.04850558879093199,0.1879836261405152,0.04496209679394499,-2.114106017586399,-4273.617572017616,-5.34202196502202,-0.14429817558094582,-0.1467073656954511,0.08875,0.1275,0.08375,True,-4523.617572017616,39400.7739696332
21,treatment,policy_value,profit,0.051471354166666664,0.21037239320363155,0.03894731817564959,0.5846950652323198,-4657.121469607686,-5.821401837009607,-0.1433688207304289,-0.10844965491129159,0.1075,0.1425,0.0975,False,-4657.121469607686,34743.65250002551
22,treatment,policy_value,profit,0.0583203125,0.21062568984189334,0.062171368437597234,-3.329288231311552,-4198.932398148852,-5.248665497686066,-0.14358878657472107,-0.11382422603589522,0.0925,0.12875,0.0875,True,-4448.932398148852,30294.72010187666
